"id","ref_id","user_id","batch_id","amount","charge","profit","refund","status","medium","payment_channel","transaction_context","created_at"
"25941","nivas_13980_1776597665429","13980",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-19 12:21:58"
"25942","nivas_12314_1776597738708","12314",NULL,"2860","110","80","0","successful","NIVASITY","wallet","purchase","2026-04-19 12:22:20"
"25943","nivas_13279_1776598498193","13279",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-19 12:36:02"
"25946","nivas_13981_1776599785458","13981",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-19 12:58:13"
"25947","nivas_12839_1776599889663","12839",NULL,"3110","110","79","0","successful","NIVASITY","wallet","purchase","2026-04-19 12:58:14"
"25950","nivas_3791_1776601545","3791",NULL,"2860","110","81","0","successful","NIVASITY","wallet","purchase","2026-04-19 13:25:46"
"25951","nivas_7882_1776601960","7882",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-19 13:33:32"
"25952","nivas_12376_1776605040501","12376",NULL,"3165","165","18","0","successful","PAYSTACK","gateway","purchase","2026-04-19 14:25:17"
"25953","nivas_13312_1776605403773","13312",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-19 14:32:27"
"25954","nivas_5049_1776607458646","5049",NULL,"5195","195","17","0","successful","PAYSTACK","gateway","purchase","2026-04-19 15:05:26"
"25955","nivas_13050_1776609123738","13050",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-19 15:33:06"
"25956","nivas_13986_1776609149428","13986",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-19 15:35:25"
"25957","nivas_13985_1776609597014","13985",NULL,"5195","195","17","0","successful","PAYSTACK","gateway","purchase","2026-04-19 15:40:52"
"25958","nivas_9090_1776610990688","9090",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-19 16:06:03"
"25960","nivas_12507_1776615991559","12507",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-19 17:27:32"
"25961","nivas_13992_1776616064364","13992",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-19 17:28:37"
"25962","nivas_13991_1776616173018","13991",NULL,"2860","110","80","0","successful","NIVASITY","wallet","purchase","2026-04-19 17:29:35"
"25963","nivas_12212_1776617328115","12212",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-19 17:52:02"
"25965","nivas_13994_1776618629852","13994",NULL,"2095","95","74","0","successful","NIVASITY","wallet","purchase","2026-04-19 18:10:32"
"25966","nivas_13996_1776618723428","13996",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-19 18:14:45"
"25967","nivas_13995_1776619452362","13995",NULL,"5195","195","17","0","successful","PAYSTACK","gateway","purchase","2026-04-19 18:28:02"
"25968","nivas_2154_1776619955941","2154",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-19 18:33:38"
"25970","nivas_13998_1776620630368","13998",NULL,"5195","195","17","0","successful","PAYSTACK","gateway","purchase","2026-04-19 18:45:37"
"25971","nivas_2202_1776620741391","2202",NULL,"1295","95","82","0","successful","NIVASITY","wallet","purchase","2026-04-19 18:45:43"
"25972","nivas_13997_1776620707762","13997",NULL,"5195","195","17","0","successful","PAYSTACK","gateway","purchase","2026-04-19 18:48:02"
"25975","nivas_13383_1776621283085","13383",NULL,"2860","110","81","0","successful","NIVASITY","wallet","purchase","2026-04-19 18:54:45"
"25976","nivas_13393_1776621373249","13393",NULL,"2860","110","80","0","successful","NIVASITY","wallet","purchase","2026-04-19 18:56:14"
"25978","nivas_3521_1776622876059","3521",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-19 19:22:55"
"25979","nivas_13588_1776622924371","13588",NULL,"3165","165","18","0","successful","PAYSTACK","gateway","purchase","2026-04-19 19:23:55"
"25980","nivas_13486_1776623300030","13486",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-19 19:31:06"
"25982","nivas_2226_1776624012453","2226",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-19 19:41:25"
"25983","nivas_6779_1776623936119","6779",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-19 19:42:04"
"25987","nivas_13999_1776624886752","13999",NULL,"2095","95","74","0","successful","NIVASITY","wallet","purchase","2026-04-19 19:54:48"
"25988","nivas_11108_1776624995143","11108",NULL,"1395","95","66","0","successful","NIVASITY","wallet","purchase","2026-04-19 19:56:36"
"25989","nivas_11108_1776625056609","11108",NULL,"1295","95","95","0","successful","NIVASITY","wallet","purchase","2026-04-19 19:57:38"
"25992","nivas_14002_1776625944797","14002",NULL,"5120","120","68","0","successful","NIVASITY","wallet","purchase","2026-04-19 20:12:27"
"25993","nivas_9223_1776625879265","9223",NULL,"3165","165","18","0","successful","PAYSTACK","gateway","purchase","2026-04-19 20:14:03"
"25994","nivas_12421_1776626115574","12421",NULL,"2860","110","81","0","successful","NIVASITY","wallet","purchase","2026-04-19 20:15:17"
"25995","nivas_8041_1776626161789","8041",NULL,"3165","165","18","0","successful","PAYSTACK","gateway","purchase","2026-04-19 20:18:53"
"25996","nivas_14005_1776626759421","14005",NULL,"5195","195","17","0","successful","PAYSTACK","gateway","purchase","2026-04-19 20:32:03"
"25997","nivas_13990_1776626913522","13990",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-19 20:32:47"
"25998","nivas_12429_1776627901060","12429",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-19 20:48:02"
"25999","nivas_6224_1776628452536","6224",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-19 20:56:30"
"26000","nivas_6605_1776628532768","6605",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-19 20:58:03"
"26001","nivas_8309_1776630103428","8309",NULL,"2658","158","18","0","successful","PAYSTACK","gateway","purchase","2026-04-19 21:23:24"
"26002","nivas_13397_1776631668014","13397",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-19 21:50:02"
"26005","nivas_12867_1776632005","12867",NULL,"45500","500","195","0","successful","NIVASITY","wallet","purchase","2026-04-19 21:53:25"
"26006","nivas_11934_1776632280","11934",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-19 21:59:08"
"26007","nivas_2132_1776632171","2132",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-19 21:59:28"
"26009","nivas_1559_1776633391425","1559",NULL,"2095","95","74","0","successful","NIVASITY","wallet","purchase","2026-04-19 22:16:34"
"26010","nivas_2168_1776634378673","2168",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-19 22:36:23"
"26011","nivas_1591_1776634553147","1591",NULL,"5195","195","17","0","successful","PAYSTACK","gateway","purchase","2026-04-19 22:38:02"
"26012","nivas_12073_1776635400511","12073",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-19 22:54:02"
"26013","nivas_12543_1776635670190","12543",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-19 22:56:51"
"26014","nivas_12104_1776636387538","12104",NULL,"2860","110","81","0","successful","NIVASITY","wallet","purchase","2026-04-19 23:06:30"
"26015","nivas_10717_1776637081716","10717",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-19 23:22:02"
"26016","nivas_10902_1776638400372","10902",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-19 23:42:00"
"26017","nivas_13978_1776641401772","13978",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-20 00:31:19"
"26018","nivas_14010_1776641474515","14010",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 00:33:21"
"26019","nivas_2161_1776646004237","2161",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-20 01:47:52"
"26020","nivas_11902_1776650783","11902",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 03:07:41"
"26021","nivas_1425_1776651382628","1425",NULL,"5195","195","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 03:18:07"
"26022","nivas_8679_1776657936124","8679",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-20 05:06:38"
"26023","nivas_9655_1776658177997","9655",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-20 05:10:35"
"26024","nivas_14011_1776658166847","14011",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 05:11:38"
"26025","nivas_11966_1776658574757","11966",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 05:17:57"
"26026","nivas_2022_1776659022","2022",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-20 05:24:29"
"26027","nivas_1992_1776663548629","1992",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-20 06:40:26"
"26028","nivas_12149_1776664316084","12149",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 06:52:55"
"26029","nivas_8645_1776664254491","8645",NULL,"3165","165","18","0","successful","PAYSTACK","gateway","purchase","2026-04-20 06:53:08"
"26030","nivas_12778_1776664840594","12778",NULL,"3165","165","18","0","successful","PAYSTACK","gateway","purchase","2026-04-20 07:02:13"
"26031","nivas_4934_1776664971965","4934",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-20 07:03:39"
"26032","nivas_2024_1776665446026","2024",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-20 07:14:03"
"26033","nivas_14004_1776665640867","14004",NULL,"2658","158","18","0","successful","PAYSTACK","gateway","purchase","2026-04-20 07:15:37"
"26034","nivas_12221_1776665825","12221",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 07:18:49"
"26035","nivas_5309_1776666716234","5309",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 07:33:16"
"26037","nivas_1321_1776667002818","1321",NULL,"5120","120","67","0","successful","NIVASITY","wallet","purchase","2026-04-20 07:36:45"
"26038","nivas_1705_1776667261289","1705",NULL,"5195","195","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 07:44:03"
"26039","nivas_5305_1776667732445","5305",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 07:49:48"
"26040","nivas_7952_1776667752246","7952",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-20 07:50:09"
"26041","nivas_8297_1776667713759","8297",NULL,"3165","165","18","0","successful","PAYSTACK","gateway","purchase","2026-04-20 07:50:10"
"26042","nivas_11668_1776667893","11668",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 07:53:33"
"26044","nivas_9993_1776667997733","9993",NULL,"2658","158","18","0","successful","PAYSTACK","gateway","purchase","2026-04-20 07:56:02"
"26045","nivas_4852_1776668316931","4852",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-20 08:01:00"
"26046","nivas_1556_1776668433762","1556",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 08:04:04"
"26047","nivas_8881_1776668619159","8881",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 08:05:17"
"26049","nivas_10538_1776668807731","10538",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 08:10:04"
"26050","nivas_13768_1776634593","13768",NULL,"5195","195","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 08:12:18"
"26051","nivas_13982_1776669301395","13982",NULL,"2095","95","73","0","successful","NIVASITY","wallet","purchase","2026-04-20 08:15:05"
"26052","nivas_2662_1776669833","2662",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 08:24:56"
"26053","nivas_261_1776669804005","261",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 08:25:00"
"26054","nivas_14016_1776670162342","14016",NULL,"5195","195","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 08:32:02"
"26055","nivas_12353_1776670456388","12353",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 08:35:31"
"26056","nivas_14020_1776670587294","14020",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 08:37:06"
"26057","nivas_9403_1776670665900","9403",NULL,"1400","100","79","0","successful","PAYSTACK","gateway","purchase","2026-04-20 08:39:42"
"26059","nivas_12181_1776670767795","12181",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 08:41:38"
"26060","nivas_10877_1776670884178","10877",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 08:43:27"
"26061","nivas_14015_1776670777343","14015",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 08:44:03"
"26062","nivas_14022_1776670770680","14022",NULL,"5195","195","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 08:44:33"
"26064","nivas_12368_1776670943604","12368",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 08:46:02"
"26065","nivas_10951_1776671208","10951",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 08:48:28"
"26066","nivas_7618_1776671230","7618",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 08:50:03"
"26067","nivas_12825_1776671433824","12825",NULL,"3165","165","18","0","successful","PAYSTACK","gateway","purchase","2026-04-20 08:53:26"
"26068","nivas_14021_1776671686535","14021",NULL,"2860","110","81","0","successful","NIVASITY","wallet","purchase","2026-04-20 08:54:52"
"26070","nivas_11238_1776671686079","11238",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 08:56:34"
"26071","nivas_11268_1776671745216","11268",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-20 08:56:46"
"26072","nivas_13924_1776671725128","13924",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-20 08:58:02"
"26073","nivas_11305_1776671898237","11305",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 08:58:54"
"26074","nivas_11932_1776671888","11932",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 09:02:03"
"26075","nivas_13024_1776672099","13024",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 09:03:03"
"26076","nivas_1806_1776671799759","1806",NULL,"5195","195","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 09:03:29"
"26077","nivas_12838_1776672166249","12838",NULL,"3165","165","18","0","successful","PAYSTACK","gateway","purchase","2026-04-20 09:04:07"
"26078","nivas_13199_1776672345808","13199",NULL,"5870","120","58","0","successful","NIVASITY","wallet","purchase","2026-04-20 09:05:46"
"26079","nivas_12718_1776672729951","12718",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-20 09:13:29"
"26080","nivas_13792_1776673280241","13792",NULL,"5195","195","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 09:24:02"
"26082","nivas_12952_1776673324587","12952",NULL,"3165","165","18","0","successful","PAYSTACK","gateway","purchase","2026-04-20 09:25:12"
"26084","nivas_10873_1776673615","10873",NULL,"2860","110","79","0","successful","NIVASITY","wallet","purchase","2026-04-20 09:26:56"
"26085","nivas_2136_1776673646164","2136",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-20 09:28:40"
"26086","nivas_12737_1776673639221","12737",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 09:30:03"
"26087","nivas_2662_1776673787","2662",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 09:31:01"
"26088","nivas_14025_1776673789097","14025",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 09:31:12"
"26089","nivas_11484_1776673901004","11484",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 09:33:06"
"26090","nivas_12237_1776673833580","12237",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-20 09:34:15"
"26091","nivas_11211_1776673977762","11211",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 09:34:38"
"26092","nivas_14026_1776674229042","14026",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 09:38:54"
"26093","nivas_14028_1776674491159","14028",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 09:42:41"
"26094","nivas_11807_1776674489921","11807",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-20 09:42:54"
"26095","nivas_12784_1776674522117","12784",NULL,"3165","165","18","0","successful","PAYSTACK","gateway","purchase","2026-04-20 09:43:35"
"26096","nivas_7708_1776674628965","7708",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-20 09:44:59"
"26097","nivas_1202_1776674630006","1202",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 09:46:02"
"26098","nivas_8611_1776674735649","8611",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-20 09:46:43"
"26099","nivas_553_1776674785622","553",NULL,"2658","158","18","0","successful","PAYSTACK","gateway","purchase","2026-04-20 09:47:27"
"26101","nivas_9017_1776675119154","9017",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 09:52:56"
"26102","nivas_5300_1776675395865","5300",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 10:00:03"
"26104","nivas_12343_1776675829743","12343",NULL,"2860","110","81","0","successful","NIVASITY","wallet","purchase","2026-04-20 10:03:53"
"26105","nivas_6348_1776675772007","6348",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 10:04:37"
"26106","nivas_13983_1776675706294","13983",NULL,"5195","195","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 10:05:46"
"26107","nivas_14033_1776676095258","14033",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 10:09:10"
"26108","nivas_2163_1776676061664","2163",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-20 10:12:04"
"26109","nivas_13548_1776676074516","13548",NULL,"3165","165","18","0","successful","PAYSTACK","gateway","purchase","2026-04-20 10:12:26"
"26110","nivas_12373_1776676282368","12373",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 10:14:03"
"26111","nivas_2130_1776676293452","2130",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-20 10:14:23"
"26112","nivas_12430_1776677116210","12430",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 10:27:11"
"26113","nivas_11386_1776677171425","11386",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 10:28:02"
"26114","nivas_13554_1776676723019","13554",NULL,"3165","165","18","0","successful","PAYSTACK","gateway","purchase","2026-04-20 10:28:03"
"26115","nivas_6679_1776677275324","6679",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 10:29:04"
"26117","nivas_10193_1776677631495","10193",NULL,"2710","110","82","0","successful","NIVASITY","wallet","purchase","2026-04-20 10:33:53"
"26118","nivas_12667_1776677611513","12667",NULL,"3165","165","18","0","successful","PAYSTACK","gateway","purchase","2026-04-20 10:36:03"
"26119","nivas_11960_1776677780993","11960",NULL,"2759","159","18","0","successful","PAYSTACK","gateway","purchase","2026-04-20 10:37:16"
"26121","nivas_9682_1776677991827","9682",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 10:42:31"
"26122","nivas_14032_1776678165632","14032",NULL,"2860","110","81","0","successful","NIVASITY","wallet","purchase","2026-04-20 10:42:48"
"26123","nivas_8561_1776678378262","8561",NULL,"2658","158","18","0","successful","PAYSTACK","gateway","purchase","2026-04-20 10:48:01"
"26124","nivas_14036_1776678445925","14036",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-20 10:50:03"
"26125","nivas_9687_1776678241582","9687",NULL,"2759","159","18","0","successful","PAYSTACK","gateway","purchase","2026-04-20 10:50:43"
"26126","nivas_10640_1776678754366","10640",NULL,"4180","180","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 10:53:52"
"26127","nivas_5772_1776679044","5772",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 10:58:46"
"26128","nivas_2013_1776679383388","2013",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-20 11:06:03"
"26129","nivas_12093_1776679617446","12093",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 11:08:16"
"26130","nivas_14037_1776679457762","14037",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 11:08:27"
"26131","nivas_13234_1776679537363","13234",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 11:09:53"
"26132","nivas_8346_1776679869327","8346",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-20 11:12:23"
"26133","nivas_1339_1776679887838","1339",NULL,"5195","195","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 11:14:03"
"26135","nivas_12444_1776680159635","12444",NULL,"2860","110","81","0","successful","NIVASITY","wallet","purchase","2026-04-20 11:16:02"
"26137","nivas_12003_1776680395359","12003",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 11:22:00"
"26138","nivas_6121_1776680533165","6121",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 11:23:15"
"26139","nivas_11138_1776680295491","11138",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 11:24:02"
"26140","nivas_11278_1776680572564","11278",NULL,"2759","159","18","0","successful","PAYSTACK","gateway","purchase","2026-04-20 11:24:41"
"26141","nivas_12105_1776680876066","12105",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 11:28:50"
"26142","nivas_14039_1776681095679","14039",NULL,"3360","110","45","0","successful","NIVASITY","wallet","purchase","2026-04-20 11:31:39"
"26143","nivas_10476_1776681034630","10476",NULL,"2759","159","18","0","successful","PAYSTACK","gateway","purchase","2026-04-20 11:31:40"
"26144","nivas_14038_1776681183112","14038",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 11:34:20"
"26145","nivas_14049_1776681221580","14049",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 11:34:40"
"26146","nivas_14042_1776681217121","14042",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 11:34:57"
"26147","nivas_9580_1776681198340","9580",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-20 11:36:03"
"26148","nivas_11210_1776681197732","11210",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 11:36:05"
"26149","nivas_14043_1776681097453","14043",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 11:37:25"
"26150","nivas_14047_1776681544714","14047",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 11:42:03"
"26151","nivas_14052_1776682035878","14052",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 11:48:46"
"26152","nivas_11300_1776682050182","11300",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 11:49:04"
"26153","nivas_12403_1776682260219","12403",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 11:52:06"
"26154","nivas_7735_1776682314032","7735",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 11:53:16"
"26155","nivas_8629_1776682496302","8629",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-20 11:55:41"
"26157","nivas_13644_1776682603530","13644",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 12:00:21"
"26158","nivas_10798_1776682753077","10798",NULL,"1400","100","79","0","successful","PAYSTACK","gateway","purchase","2026-04-20 12:01:19"
"26159","nivas_14056_1776683014981","14056",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-20 12:04:57"
"26160","nivas_10699_1776683114905","10699",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-20 12:06:16"
